Year i_index j_index k_index x_coord_m y_coord_m z_coord_m Gas_Saturation
2030-Jan-01 17 6 13 19323.1 18626.9 1061.12 1e-06
2030-Jan-01 18 6 13 19489.1 18626.9 1065.52 1e-06
2030-Jan-01 19 6 13 19655.2 18626.9 1067.93 1e-06
2030-Jan-01 20 6 13 19821.3 18626.9 1057.73 1e-06
2030-Jan-01 21 6 13 19987.3 18626.9 1045.01 1e-06
2030-Jan-01 22 6 13 20153.4 18626.9 1035.15 1e-06
2030-Jan-01 23 6 13 20319.5 18626.9 1021.47 1e-06
2030-Jan-01 24 6 13 20485.5 18626.9 1015.82 1e-06
2030-Jan-01 25 6 13 20651.6 18626.9 1031.01 1e-06
2030-Jan-01 26 6 13 20817.7 18626.9 1050.88 1e-06
2030-Jan-01 27 6 13 20983.7 18626.9 1063.65 1e-06
2030-Jan-01 28 6 13 21149.8 18626.9 1064.48 1e-06
2030-Jan-01 29 6 13 21315.9 18626.9 1052.55 1e-06
2030-Jan-01 30 6 13 21481.9 18626.9 1047.33 1e-06
2030-Jan-01 31 6 13 21648 18626.9 1049.48 1e-06
2030-Jan-01 32 6 13 21814.1 18626.9 1055.81 1e-06
2030-Jan-01 33 6 13 21980.1 18626.9 1063.44 -9999
2030-Jan-01 34 6 13 22146.2 18626.9 1065.69 -9999
2030-Jan-01 35 6 13 22312.3 18626.9 1067.19 -9999
2030-Jan-01 36 6 13 22478.3 18626.9 1070.11 -9999
2030-Jan-01 37 6 13 22644.4 18626.9 1072.16 -9999
2030-Jan-01 38 6 13 22810.4 18626.9 1071.24 -9999
2030-Jan-01 1 7 13 16666 18784.1 1044.14 -9999
2030-Jan-01 2 7 13 16832.1 18784.1 1046.77 -9999
2030-Jan-01 3 7 13 16998.1 18784.1 1051.83 1e-06
2030-Jan-01 4 7 13 17164.2 18784.1 1054.28 1e-06
2030-Jan-01 5 7 13 17330.3 18784.1 1053.62 1e-06
2030-Jan-01 6 7 13 17496.3 18784.1 1057.84 1e-06
2030-Jan-01 7 7 13 17662.4 18784.1 1060.55 1e-06
2030-Jan-01 8 7 13 17828.5 18784.1 1061.07 1e-06
2030-Jan-01 9 7 13 17994.5 18784.1 1060.71 1e-06
2030-Jan-01 10 7 13 18160.6 18784.1 1055.05 1e-06
2030-Jan-01 11 7 13 18326.7 18784.1 1049.69 1e-06
2030-Jan-01 12 7 13 18492.7 18784.1 1049.42 1e-06
2030-Jan-01 13 7 13 18658.8 18784.1 1051.38 1e-06
2030-Jan-01 14 7 13 18824.9 18784.1 1052.28 1e-06
2030-Jan-01 15 7 13 18990.9 18784.1 1052.37 1e-06
2030-Jan-01 16 7 13 19157 18784.1 1055.2 1e-06
2030-Jan-01 17 7 13 19323.1 18784.1 1059.82 1e-06
2030-Jan-01 18 7 13 19489.1 18784.1 1066.09 1e-06
2030-Jan-01 19 7 13 19655.2 18784.1 1069.13 1e-06
2030-Jan-01 20 7 13 19821.3 18784.1 1056.2 1e-06
2030-Jan-01 21 7 13 19987.3 18784.1 1041.33 1e-06
2030-Jan-01 22 7 13 20153.4 18784.1 1034.43 1e-06
2030-Jan-01 23 7 13 20319.5 18784.1 1026.13 1e-06
2030-Jan-01 24 7 13 20485.5 18784.1 1021.18 1e-06
2030-Jan-01 25 7 13 20651.6 18784.1 1031.53 1e-06
2030-Jan-01 26 7 13 20817.7 18784.1 1050.91 1e-06
2030-Jan-01 27 7 13 20983.7 18784.1 1065.08 1e-06
2030-Jan-01 28 7 13 21149.8 18784.1 1068.64 1e-06
2030-Jan-01 29 7 13 21315.9 18784.1 1055.85 1e-06
2030-Jan-01 30 7 13 21481.9 18784.1 1046.49 1e-06
2030-Jan-01 31 7 13 21648 18784.1 1049.82 1e-06
2030-Jan-01 32 7 13 21814.1 18784.1 1057.13 1e-06
2030-Jan-01 33 7 13 21980.1 18784.1 1064.25 -9999
2030-Jan-01 34 7 13 22146.2 18784.1 1066.59 -9999
2030-Jan-01 35 7 13 22312.3 18784.1 1068.18 -9999
2030-Jan-01 36 7 13 22478.3 18784.1 1070.4 -9999
2030-Jan-01 37 7 13 22644.4 18784.1 1069.67 -9999
2030-Jan-01 38 7 13 22810.4 18784.1 1062.75 -9999
2030-Jan-01 1 8 13 16666 18941.4 1044.81 -9999
2030-Jan-01 2 8 13 16832.1 18941.4 1047.37 1e-06
2030-Jan-01 3 8 13 16998.1 18941.4 1050.04 1e-06
2030-Jan-01 4 8 13 17164.2 18941.4 1051.7 1e-06
2030-Jan-01 5 8 13 17330.3 18941.4 1053.21 1e-06
2030-Jan-01 6 8 13 17496.3 18941.4 1058.85 1e-06
